,ApplicationApproved,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,Avg30DayGamblingSpend,Avg30DayCashWithdrawals,NumberOfDirectDebitsFailingLast30Days,CreditCardUsedForUtilities,Avg30DayBenefitsReceived
0,1,0.9999999,30,98,3.0,,0,98,0,98,2,65.39334315126283,377.91306367731,1,0,0.0
1,1,0.9999999,21,98,0.0,0.0,0,98,0,98,0,0.0,0.0,4,0,0.0
2,0,0.473755047,54,3,0.15364106,6000.0,6,6,0,2,0,71.67085647542848,39.19442233173943,5,1,559.767075255585
3,1,0.9999999,57,1,0.298092946,5400.0,4,1,1,1,0,78.91905125818809,0.0,2,1,555.0431334231662
4,1,0.9999999,31,98,0.0,,0,98,0,98,0,57.26268352525408,108.6918128942452,0,0,0.0
5,1,0.9999999,34,98,0.0,,0,98,0,98,0,88.65740825049197,98.2880827590827,0,0,0.0
6,1,0.9999999,21,98,0.0,0.0,0,98,0,98,0,0.0,0.0,0,0,0.0
7,1,0.979042492,58,4,0.272606383,6767.0,12,1,1,4,0,64.1731351915353,85.34831058186975,2,1,539.146621875925
8,0,0.9999999,23,98,0.0,,0,98,0,98,0,71.9089259868364,109.48606578146732,0,1,0.0
9,1,0.9999999,22,98,0.0,,0,98,0,98,0,54.660443931425135,0.0,1,1,0.0
10,1,0.9999999,25,98,0.0,0.0,0,98,0,98,0,0.0,0.0,4,1,0.0
11,1,0.9999999,24,98,0.0,1041.0,0,98,0,98,0,61.381125534830005,0.0,4,1,0.0
12,1,0.9999999,28,98,0.0,,0,98,0,98,0,61.1911584503234,0.0,4,0,0.0
13,1,0.9999999,22,98,0.0,,0,98,0,98,0,73.42337315398237,52.31267160088115,0,0,0.0
14,0,0.9999999,42,98,0.0,7000.0,0,98,0,98,0,75.67450396434663,122.98348074250625,0,0,0.0
